Epoch: 139, aver_loss : 0.04012, R@20: 0.0338, N@20: 0.0265, time:83.43 seconds
Epoch: 140, aver_loss : 0.04001, R@20: 0.0338, N@20: 0.0265, time:83.42 seconds
Epoch: 141, aver_loss : 0.03977, R@20: 0.0339, N@20: 0.0266, time:83.43 seconds
Epoch: 142, aver_loss : 0.03956, R@20: 0.0340, N@20: 0.0266, time:83.42 seconds
Epoch: 143, aver_loss : 0.03954, R@20: 0.0339, N@20: 0.0266, time:83.43 seconds
Epoch: 144, aver_loss : 0.03922, R@20: 0.0341, N@20: 0.0267, time:83.42 seconds
Epoch: 145, aver_loss : 0.03917, R@20: 0.0341, N@20: 0.0267, time:83.44 seconds
Epoch: 146, aver_loss : 0.03899, R@20: 0.0342, N@20: 0.0268, time:83.43 seconds
Epoch: 147, aver_loss : 0.03879, R@20: 0.0343, N@20: 0.0268, time:83.45 seconds
Epoch: 148, aver_loss : 0.03858, R@20: 0.0343, N@20: 0.0269, time:83.43 seconds
Epoch: 149, aver_loss : 0.03834, R@20: 0.0344, N@20: 0.0269, time:83.45 seconds
Epoch: 150, aver_loss : 0.03820, R@20: 0.0345, N@20: 0.0270, time:83.42 seconds
Epoch: 151, aver_loss : 0.03828, R@20: 0.0345, N@20: 0.0270, time:83.43 seconds
Epoch: 152, aver_loss : 0.03792, R@20: 0.0346, N@20: 0.0270, time:83.43 seconds
Epoch: 153, aver_loss : 0.03797, R@20: 0.0348, N@20: 0.0271, time:83.45 seconds
Epoch: 154, aver_loss : 0.03781, R@20: 0.0349, N@20: 0.0272, time:83.42 seconds
Epoch: 155, aver_loss : 0.03757, R@20: 0.0348, N@20: 0.0271, time:83.43 seconds
Epoch: 156, aver_loss : 0.03743, R@20: 0.0349, N@20: 0.0271, time:83.42 seconds
Epoch: 157, aver_loss : 0.03715, R@20: 0.0348, N@20: 0.0272, time:83.44 seconds
Epoch: 158, aver_loss : 0.03712, R@20: 0.0349, N@20: 0.0272, time:83.44 seconds
Epoch: 159, aver_loss : 0.03694, R@20: 0.0348, N@20: 0.0272, time:83.43 seconds
Epoch: 160, aver_loss : 0.03667, R@20: 0.0350, N@20: 0.0273, time:83.42 seconds
Epoch: 161, aver_loss : 0.03665, R@20: 0.0349, N@20: 0.0273, time:83.43 seconds
Epoch: 162, aver_loss : 0.03656, R@20: 0.0349, N@20: 0.0273, time:83.43 seconds
Epoch: 163, aver_loss : 0.03650, R@20: 0.0350, N@20: 0.0273, time:83.44 seconds
Epoch: 164, aver_loss : 0.03631, R@20: 0.0350, N@20: 0.0273, time:83.43 seconds
Epoch: 165, aver_loss : 0.03606, R@20: 0.0351, N@20: 0.0274, time:83.44 seconds
Epoch: 166, aver_loss : 0.03599, R@20: 0.0351, N@20: 0.0274, time:83.42 seconds
